[ 'Town',
  'Count',
  '',
  'Notes',
  'Municipality',
  'Longitude',
  'State',
  'Place',
  'Latitude' ]
"Town","Count","","Notes","Municipality","Longitude","State","Place","Latitude"
"San Martin Duraznos","51",null,"","San Sebastian Tecomaxtlahuaca",17.35,"OAX","San Martin Duraznos, San Sebastian Tecomaxtlahuaca, Oaxaca",-98.033333
"San Mateo Tunuchi","1",null,"","San Sebastian Tecomaxtlahuaca",17.35,"OAX","San Mateo Tunuchi, San Sebastian Tecomaxtlahuaca, Oaxaca",-98.033333
"","1",null,"Zapotec","San Vicente Coatlan",16.383333,"OAX","San Vicente Coatlan, Oaxaca",-96.85
"","2",null,"Zapotec","Santa Ana Yareni",17.3968099,"OAX","Santa Ana Yareni, Oaxaca",-96.6085921
"","1",null,"Zapotec","Santa Catarina Quioquitani",16.3145975,"OAX","Santa Catarina Quioquitani",-96.2843862
"","1",null,"Zapotec","Santa Cruz Xitla",16.3215262,"OAX","Santa Cruz Xitla, Oaxaca",-96.6736876
"San Francisco Cozoaltepec","1",null,"Non-indigenous, Zapotec","Santa Maria Tonameca",15.7467124,"OAX","San Francisco Cozoaltepec, Santa Maria Tonameca, Oaxaca",-96.5462836
"Rio Mijangos","1",null,"Non-indigenous","Santa Maria Zoquitlan",16.5597026,"OAX","Río Míjangos, Santa Maria Zoquitlan, Oaxaca",-96.35398930000001
"","11",null,"","Santiago Juxtlahuaca",17.3338551,"OAX","Santiago Juxtlahuaca, Oaxaca",-98.0106756
"La Sabana","1",null,"Triqui","Santiago Juxtlahuaca",17.3338551,"OAX","La Sabana, Santiago Juxtlahuaca, Oaxaca",-98.0106756
"San Juan Piñas","1",null,"","Santiago Juxtlahuaca",17.3338551,"OAX","San Juan Piñas, Santiago Juxtlahuaca, Oaxaca",-98.0106756
"Santa Maria Yucunicoco","7",null,"","Santiago Juxtlahuaca","UNKNOWN","OAX","Santa Maria Yucunicoco, Santiago Juxtlhuaca, Oaxaca","UNKNOWN"
"Santiago Naranjos","9",null,"","Santiago Juxtlahuaca",17.3338551,"OAX","Santiago Naranjos, Santiago Juxtlahuaca, Oaxaca",-98.0106756
"Santos Reyes Zochiquilazola","1",null,"","Santiago Juxtlahuaca","UNKNOWN","OAX","Santos Reyes Zochiquilazola, Santiago Juxtlhuaca, Oaxaca","UNKNOWN"
"Union de Cardenas","12",null,"","Santiago Juxtlahuaca",17.3338551,"OAX","Union de Cardenas, Santiago Juxtlahuaca, Oaxaca",-98.0106756
"","1",null,"","Santiago Pinotepa Nacional",16.3411824,"OAX","Santiago Pinotepa Nacional, Oaxaca",-98.053687
"Yolotepec de la Paz","2",null,"","Santiago Yosondua",16.883333,"OAX","Yolotepec de la Paz, Santiago Yosondua, Oaxaca",-97.566667
"","3",null,"","Santiago del Rio",17.4537264,"OAX","Santiago del Rio, Oaxaca",-98.0909499
"San Francisco Higos","12",null,"","Santiago del Rio",17.4537264,"OAX","San Francisco Higos, Santiago del Rio, Oaxaca",-98.0909499
"San Sebastian del Monte","21",null,"","Santo Domingo Tonala",17.6732539,"OAX","San Sebastian del Monte, Santo Domingo Tonala, Oaxaca",-97.9650566
"","1",null,"","Santos Reyes Tepejillo",17.4377727,"OAX","Santos Reyes Tepejillo, Oaxaca",-97.93867689999999
"","1",null,"","Silacayoapam",17.5047564,"OAX","Silacayoapam, Oaxaca",-98.14050490000001
"Los Reyes Michapa","2",null,"","Silacayoapam",17.5047564,"OAX","Los Reyes Michapa, Silacayoapam, Oaxaca",-98.14050490000001
"San Andres Montaña","1",null,"","Silacayoapam",17.5047564,"OAX","San Andres Montaña, Silacayoapam, Oaxaca",-98.14050490000001
"San Martin del Estado","2",null,"","Silacayoapam",17.5047564,"OAX","San Martin del Estado, Silacayoapam, Oaxaca",-98.14050490000001
"Santiago Asuncion","10",null,"","Silacayoapam",17.5047564,"OAX","Santiago Asuncion, Silacayoapam, Oaxaca",-98.14050490000001
"San Martin del Rio","2",null,"","Tezoatlan de Segura y Luna",17.6526298,"OAX","San Martin del Rio, Tezoatlan de Segura y Luna, Oaxaca",-97.8094397
"","1",null,"Non-indigenous, Zapotec","Villa Sola de Vega",16.5116214,"OAX","Villa Sola de Vega, Oaxaca",-96.9794689
"","3",null,"Non-indigenous","Yogana",16.4585894,"OAX","Yogana, Oaxaca",-96.78573560000001
"","3",null,"Non-indigenous","Tlahuapan",20.0833329,"PUE","Tlahuapan, Puebla",-97.9166671
"Citlaltepec","1",null,"Aztec","Citlaltepetl",21.3366489,"VER","Citlaltepec, Citlaltepetl, Veracruz",-97.8783886
