Town	Count		Notes	Municipality	Longitude	State	Place	Latitude
	3	None		Santiago del Rio	17.4537264	OAX	Santiago del Rio, Oaxaca	-98.0909499
San Francisco Higos	12	None		Santiago del Rio	17.4537264	OAX	San Francisco Higos, Santiago del Rio, Oaxaca	-98.0909499
San Sebastian del Monte	21	None		Santo Domingo Tonala	17.6732539	OAX	San Sebastian del Monte, Santo Domingo Tonala, Oaxaca	-97.9650566
	1	None		Santos Reyes Tepejillo	17.4377727	OAX	Santos Reyes Tepejillo, Oaxaca	-97.9386769
	1	None		Silacayoapam	17.5047564	OAX	Silacayoapam, Oaxaca	-98.1405049
Los Reyes Michapa	2	None		Silacayoapam	17.5047564	OAX	Los Reyes Michapa, Silacayoapam, Oaxaca	-98.1405049
San Andres Montaña	1	None		Silacayoapam	17.5047564	OAX	San Andres Montaña, Silacayoapam, Oaxaca	-98.1405049
San Martin del Estado	2	None		Silacayoapam	17.5047564	OAX	San Martin del Estado, Silacayoapam, Oaxaca	-98.1405049
Santiago Asuncion	10	None		Silacayoapam	17.5047564	OAX	Santiago Asuncion, Silacayoapam, Oaxaca	-98.1405049
San Martin del Rio	2	None		Tezoatlan de Segura y Luna	17.6526298	OAX	San Martin del Rio, Tezoatlan de Segura y Luna, Oaxaca	-97.8094397
	1	None	Non-indigenous, Zapotec	Villa Sola de Vega	16.5116214	OAX	Villa Sola de Vega, Oaxaca	-96.9794689
	3	None	Non-indigenous	Yogana	16.4585894	OAX	Yogana, Oaxaca	-96.7857356
	3	None	Non-indigenous	Tlahuapan	20.0833329	PUE	Tlahuapan, Puebla	-97.9166671
Citlaltepec	1	None	Aztec	Citlaltepetl	21.3366489	VER	Citlaltepec, Citlaltepetl, Veracruz	-97.8783886
