State	Municipality	Town	Place	Count	Notes		
OAX	Santiago Juxtlahuaca	Union de Cardenas	Union de Cardenas, Santiago Juxtlahuaca, Oaxaca	12	
OAX	Santiago Juxtlahuaca		Santiago Juxtlahuaca, Oaxaca	11	
					
OAX	Santiago Pinotepa Nacional		Santiago Pinotepa Nacional, Oaxaca	1	
					
OAX	Santiago Yosondua	Yolotepec de la Paz	Yolotepec de la Paz, Santiago Yosondua, Oaxaca	2	
					
OAX	Santo Domingo Tonala	San Sebastian del Monte	San Sebastian del Monte, Santo Domingo Tonala, Oaxaca	21	
					
OAX	Santos Reyes Tepejillo		Santos Reyes Tepejillo, Oaxaca	1	
					
OAX	Silacayoapam	Los Reyes Michapa	Los Reyes Michapa, Silacayoapam, Oaxaca	2	
OAX	Silacayoapam	San Andres Montaña	San Andres Montaña, Silacayoapam, Oaxaca	1	
OAX	Silacayoapam	San Martin del Estado	San Martin del Estado, Silacayoapam, Oaxaca	2	
OAX	Silacayoapam	Santiago Asuncion	Santiago Asuncion, Silacayoapam, Oaxaca	10	
OAX	Silacayoapam		Silacayoapam, Oaxaca	1	
					
OAX	Tezoatlan de Segura y Luna	San Martin del Rio	San Martin del Rio, Tezoatlan de Segura y Luna, Oaxaca	2	
					
OAX	Heroica Ciudad de Tlaxiaco		Heroica Cuidad de Tlaxiaco, Oaxaca	3	Non-indigenous, Mixtec, Triqui
					
OAX	Villa Sola de Vega		Villa Sola de Vega, Oaxaca	1	Non-indigenous, Zapotec
					
OAX	Yogana		Yogana, Oaxaca	3	Non-indigenous
					
PUE	Tlahuapan		Tlahuapan, Puebla	3	Non-indigenous
					
VER	Citlaltepetl	Citlaltepec	Citlaltepec, Citlaltepetl, Veracruz	1	Aztec
